izo,rocnik,poznamka,ucivo,blok RVP,ucivo RVP
000233773,6,,,,
000233773,6,,význam zkoumání dějin,ČLOVĚK V DĚJINÁCH,"význam zkoumání dějin, získávání informací o dějinách; historické prameny"
000233773,6,,získávání informací o dějinách,ČLOVĚK V DĚJINÁCH,"význam zkoumání dějin, získávání informací o dějinách; historické prameny"
000233773,6,,historický čas a prostor,ČLOVĚK V DĚJINÁCH,historický čas a prostor
000233773,6,,člověk a lidská společnost v pravěku,POČÁTKY LIDSKÉ SPOLEČNOSTI,člověk a lidská společnost v pravěku
000233773,6,,nejstarší starověké civilizace,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,nejstarší starověké civilizace a jejich kulturní odkaz
000233773,6,,kulturní odkaz nejstarších starověkých civilizací,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,nejstarší starověké civilizace a jejich kulturní odkaz
000233773,6,,antické Řecko,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
000233773,6,,antický Řím,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
000233773,6,,charakteristika antického Řecka a Říma,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
000233773,6,,vývoj antického Řecka a Říma,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
000233773,6,,kultura antického Řecka a Říma,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
000233773,6,,střední Evropa a její styky s antickým Středomořím,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,střední Evropa a její styky s antickým Středomořím
000233773,7,,,,
000233773,7,,Středověk,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,
000233773,7,,nový etnický obraz Evropy,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,nový etnický obraz Evropy
000233773,7,,první státní útvary v Evropě,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,utváření států ve východoevropském a západoevropském kulturním okruhu a jejich specifický vývoj
000233773,7,,Arabové a Turci,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"islám a islámské říše ovlivňující Evropu (Arabové, Turci)"
000233773,7,,Velká Morava a český stát,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"Velká Morava a český stát, jejich vnitřní vývoj a postavení v Evropě"
000233773,7,,vnitřní vývoj a postavení v Evropě,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"Velká Morava a český stát, jejich vnitřní vývoj a postavení v Evropě"
000233773,7,,křesťanství,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"křesťanství, papežství, císařství, křížové výpravy"
000233773,7,,papežství,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"křesťanství, papežství, císařství, křížové výpravy"
000233773,7,,císařství,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"křesťanství, papežství, císařství, křížové výpravy"
000233773,7,,křížové výpravy,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"křesťanství, papežství, císařství, křížové výpravy"
000233773,7,,struktura středověké společnosti,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"struktura středověké společnosti, funkce jednotlivých vrstev"
000233773,7,,funkce jednotlivých vrstev,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"struktura středověké společnosti, funkce jednotlivých vrstev"
000233773,7,,románské a gotické umění,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,kultura středověké společnosti - románské a gotické umění a vzdělanost
000233773,7,,vzdělanost,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,kultura středověké společnosti - románské a gotické umění a vzdělanost
000233773,7,,Husitství,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
000233773,7,,Humanismus,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
000233773,7,,počátky novověku,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
000233773,7,,renesance,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
000233773,7,,reformace,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
000233773,7,,Zámořské objevy,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,zámořské objevy a počátky dobývání světa
000233773,7,,Český stát a velmoci v 15. – 17. století,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
000233773,7,,Třicetiletá válka,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
000233773,8,,,,
000233773,8,,Důsledky třicetileté války,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
000233773,8,,Barokní kultura a osvícenství,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,barokní kultura a osvícenství
000233773,8,,Znaky barokní kultury a osvícenství,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,barokní kultura a osvícenství
000233773,8,,Představitelé barokní kultury a osvícenství,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,barokní kultura a osvícenství
000233773,8,,Český stát a velmoci v 18. století,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
000233773,8,,Velká francouzská revoluce,MODERNIZACE SPOLEČNOSTI,"Velká francouzská revoluce a napoleonské období, jejich vliv na Evropu a svět; vznik USA"
000233773,8,,Napoleonské období,MODERNIZACE SPOLEČNOSTI,"Velká francouzská revoluce a napoleonské období, jejich vliv na Evropu a svět; vznik USA"
000233773,8,,Vliv Velké francouzské revoluce a napoleonského období na Evropu a svět,MODERNIZACE SPOLEČNOSTI,"Velká francouzská revoluce a napoleonské období, jejich vliv na Evropu a svět; vznik USA"
000233773,8,,Vznik USA,MODERNIZACE SPOLEČNOSTI,"Velká francouzská revoluce a napoleonské období, jejich vliv na Evropu a svět; vznik USA"
000233773,8,,Industrializace,MODERNIZACE SPOLEČNOSTI,industrializace a její důsledky pro společnost; sociální otázka
000233773,8,,Důsledky industrializace pro společnost,MODERNIZACE SPOLEČNOSTI,industrializace a její důsledky pro společnost; sociální otázka
000233773,8,,Sociální otázka,MODERNIZACE SPOLEČNOSTI,industrializace a její důsledky pro společnost; sociální otázka
000233773,8,,Utváření novodobých národů,MODERNIZACE SPOLEČNOSTI,národní hnutí velkých a malých národů; utváření novodobého českého národa
000233773,8,,"Revoluce 19. století jako prostředek řešení politických, sociálních a národnostních problémů",MODERNIZACE SPOLEČNOSTI,"revoluce 19. století jako prostředek řešení politických, sociálních a národnostních problémů"
000233773,8,,Politické proudy,MODERNIZACE SPOLEČNOSTI,"politické proudy (konzervativismus, liberalismus, demokratismus, socialismus), ústava, politické strany, občanská práva"
000233773,8,,Občanská práva,MODERNIZACE SPOLEČNOSTI,"politické proudy (konzervativismus, liberalismus, demokratismus, socialismus), ústava, politické strany, občanská práva"
000233773,8,,Konflikty mezi velmocemi,MODERNIZACE SPOLEČNOSTI,"konflikty mezi velmocemi, kolonialismus"
000233773,8,,Kolonialismus,MODERNIZACE SPOLEČNOSTI,"konflikty mezi velmocemi, kolonialismus"
000233773,8,,První světová válka,MODERNÍ DOBA,"první světová válka a její politické, sociální a kulturní důsledky"
000233773,9,,,,
000233773,9,,První světová válka,MODERNÍ DOBA,"první světová válka a její politické, sociální a kulturní důsledky"
000233773,9,,důsledky válečného konfliktu,MODERNÍ DOBA,"první světová válka a její politické, sociální a kulturní důsledky"
000233773,9,,Meziválečné období,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
000233773,9,,nové politické uspořádání Evropy,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
000233773,9,,úloha USA ve světě,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
000233773,9,,politická a hospodářská situace ve 20. a 30. letech,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
000233773,9,,totalitní systémy,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
000233773,9,,Vznik a fungování Československé republiky,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
000233773,9,,"hospodářství, politika",MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
000233773,9,,sociální a národnostní problémy,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
000233773,9,,kultura,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
000233773,9,,Druhá světová válka,MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
000233773,9,,"průběh války, holokaust",MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
000233773,9,,situace v protektorátu,MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
000233773,9,,"politické, mocenské a ekonomické důsledky války",MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
000233773,9,,Studená válka,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"studená válka, rozdělení světa do vojenských bloků reprezentovaných supervelmocemi; politické, hospodářské, sociální a ideologické soupeření"
000233773,9,,rozdělení světa do vojenských bloků reprezentovaných supervelmocemi,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"studená válka, rozdělení světa do vojenských bloků reprezentovaných supervelmocemi; politické, hospodářské, sociální a ideologické soupeření"
000233773,9,,vnitřní situace v zemích západního a východního bloku,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,vnitřní situace v zemích východního bloku (na vybraných příkladech srovnání s charakteristikou západních zemí)
000233773,9,,vývoj Československa v letech 1945 - 1989,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"vývoj Československa od roku 1945 do roku 1989, vznik České republiky"
000233773,9,,Nejnovější dějiny,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,problémy současnosti
000233773,9,,euroatlantická hospodářská a vojenská spolupráce,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,problémy současnosti
000233773,9,,vznik České republiky,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"vývoj Československa od roku 1945 do roku 1989, vznik České republiky"
000233773,9,,"rozpad koloniálního systému, mimoevropský svět",ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"rozpad koloniálního systému, mimoevropský svět"
000233773,9,,problémy současnosti,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,problémy současnosti
000241610,6,,,,
000241610,6,,Počátky lidské společnosti,POČÁTKY LIDSKÉ SPOLEČNOSTI,člověk a lidská společnost v pravěku
000241610,6,,Nejstarší státy,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,nejstarší starověké civilizace a jejich kulturní odkaz
000241610,6,,Kořeny evropské kultury,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,jiné
000241610,6,,Antika,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
000241610,6,,Starověké Řecko,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
000241610,6,,Řím,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
000241610,6,,Staroorientální státy,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,nejstarší starověké civilizace a jejich kulturní odkaz
000241610,6,,Střední Evropa a její styky s antickým Středomořím,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,střední Evropa a její styky s antickým Středomořím
000241610,7,,,,
000241610,7,,Stěhování národů,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,nový etnický obraz Evropy
000241610,7,,utváření států ve východoevropském kulturním okruhu a jejich specifický vývoj,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,utváření států ve východoevropském a západoevropském kulturním okruhu a jejich specifický vývoj
000241610,7,,Svět islámu,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"islám a islámské říše ovlivňující Evropu (Arabové, Turci)"
000241610,7,,islamští Arabové,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"islám a islámské říše ovlivňující Evropu (Arabové, Turci)"
000241610,7,,islamští Turci,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"islám a islámské říše ovlivňující Evropu (Arabové, Turci)"
000241610,7,,Křesťanská Evropa,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"křesťanství, papežství, císařství, křížové výpravy"
000241610,7,,křížové výpravy,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"křesťanství, papežství, císařství, křížové výpravy"
000241610,7,,Sámova říše,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,jiné
000241610,7,,Velká Morava,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"Velká Morava a český stát, jejich vnitřní vývoj a postavení v Evropě"
000241610,7,,Přemyslovské Čechy,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"Velká Morava a český stát, jejich vnitřní vývoj a postavení v Evropě"
000241610,7,,Český stát ve 14. - 16. století,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
000241610,7,,Nástup Habsburků,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
000241610,7,,Románské a gotické umění a vzdělanost,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,kultura středověké společnosti - románské a gotické umění a vzdělanost
000241610,7,,Bílá hora a její důsledky,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
000241610,7,,Třicetiletá válka,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
000241610,7,,Renesance a humanismus,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
000241610,7,,Objevné plavby,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,zámořské objevy a počátky dobývání světa
000241610,8,,,,
000241610,8,,Evropa po třicetileté válce,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
000241610,8,,Habsburská monarchie 17. a 19. stol.,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
000241610,8,,Baroko,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,barokní kultura a osvícenství
000241610,8,,Klasicismus,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,barokní kultura a osvícenství
000241610,8,,Velká francouzská revoluce,MODERNIZACE SPOLEČNOSTI,"Velká francouzská revoluce a napoleonské období, jejich vliv na Evropu a svět; vznik USA"
000241610,8,,Napoleonské války,MODERNIZACE SPOLEČNOSTI,"Velká francouzská revoluce a napoleonské období, jejich vliv na Evropu a svět; vznik USA"
000241610,8,,Průmyslová revoluce v Evropě,MODERNIZACE SPOLEČNOSTI,industrializace a její důsledky pro společnost; sociální otázka
000241610,8,,"Revoluce 19. století jako prostředek řešení politických, sociálních a národnostních problémů",MODERNIZACE SPOLEČNOSTI,"revoluce 19. století jako prostředek řešení politických, sociálních a národnostních problémů"
000241610,8,,"Politické proudy (konzervatismus, liberalismus, demokratismus, socialismus)",MODERNIZACE SPOLEČNOSTI,"politické proudy (konzervativismus, liberalismus, demokratismus, socialismus), ústava, politické strany, občanská práva"
000241610,8,,Ústava,MODERNIZACE SPOLEČNOSTI,"politické proudy (konzervativismus, liberalismus, demokratismus, socialismus), ústava, politické strany, občanská práva"
000241610,8,,Politické strany,MODERNIZACE SPOLEČNOSTI,"politické proudy (konzervativismus, liberalismus, demokratismus, socialismus), ústava, politické strany, občanská práva"
000241610,8,,Občanská práva,MODERNIZACE SPOLEČNOSTI,"politické proudy (konzervativismus, liberalismus, demokratismus, socialismus), ústava, politické strany, občanská práva"
000241610,8,,České země v rakouské říši,MODERNIZACE SPOLEČNOSTI,národní hnutí velkých a malých národů; utváření novodobého českého národa
000241610,8,,Národní obrození,MODERNIZACE SPOLEČNOSTI,národní hnutí velkých a malých národů; utváření novodobého českého národa
000241610,8,,Kulturní rozrůzněnost doby,MODERNIZACE SPOLEČNOSTI,kulturní rozrůzněnost doby
000241610,8,,"Konflikty mezi velmocemi, kolonialismus",MODERNIZACE SPOLEČNOSTI,"konflikty mezi velmocemi, kolonialismus"
000241610,8,,1. světová válka,MODERNÍ DOBA,"první světová válka a její politické, sociální a kulturní důsledky"
000241610,8,,Nové politické uspořádání Evropy a úloha USA ve světě,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
000241610,8,,Problematika národních společností – vznik Československa,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
000241610,9,,,,
000241610,9,,Svět a Československo,MODERNÍ DOBA,jiné
000241610,9,,20. století,MODERNÍ DOBA,jiné
000241610,9,,Druhá světová válka,MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
