izo,strata,zar_naz,ulice,misto,website,svp_pdf,svp_bing_found,svp_page
102317062,1,Základní škola,Školská 196,Budyně nad Ohří,www.zs.budyne.cz,,False,https://www.zs.budyne.cz/
102255202,1,Základní škola,Školní 84,Dolní Věstonice,zsvestonice.webnode.cz,,False,
102164614,1,Základní škola,Komenského 59,Sušice,zstgmasaryka.cz,,False,https://www.zstgmasaryka.cz/155-zs-tg-masaryka.html
2174341,1,Základní škola,Na městečku 69,Stříbrná Skalice,www.zsskalice.cz,,False,https://www.zsskalice.cz/
181128322,1,Základní škola,Dlouhá 713/34,Praha 1 - Staré Město,www.lvacademy.cz,,False,
102391131,1,Základní škola,č.p. 357,Archlebov,www.zsarchlebov.cz,,False,https://www.zsarchlebov.cz/skolni-vzdelavaci-programy/
102226971,1,Základní škola,Ke Křížku 190,Žehušice,www.zszehusice.cz,,False,
181095564,1,Základní škola,Na Okraji 1001/7,Ústí nad Labem,usti.erazim.cz,,False,
48004545,1,Základní škola,Školská 432/1,Karviná,www.zsskolska.eu,,False,https://www.zsskolska.eu/fotogalerie-druziny
102241058,1,Základní škola,Na Výběžku 118,Liberec,zsnavybezku.cz,,False,https://zsnavybezku.cz/skolni_dokumenty/
102931950,1,Základní škola,Dolní Bory 161,Bory,www.zsbory.cz,,False,https://www.zsbory.cz/dokumenty-zs/
102307938,1,Základní škola,Pod Kaštany 32,Lukov,www.zslukov.cz,https://www.zslukov.cz/media/files/page/item/files-7/svp_1_9_2023.pdf,True,
42962358,1,Základní škola,Loučská 237/1,Lipník nad Bečvou,www.slunicko.cz,,False,https://www.slunicko.cz/clanek?nazev=prvni-den-svp-&id=169
241806,1,Základní škola,Pražská 740,Velké Přílepy,zsvelkeprilepy.cz,,False,https://zsvelkeprilepy.cz/
181066289,1,Základní škola,Zagarolská 245,Nelahozeves,www.zsnelahozeves.cz,,False,
102320381,1,Základní škola,č.p. 250,Hněvotín,www.skolahnevotin.cz,,False,
102602085,1,Základní škola,č.p. 157,Křivoklát,zskrivoklat.cz,,False,https://zskrivoklat.cz/files/category/4/vp-ms.pdf
